attack,attack_any_count,attack_any_rate,attack_backup_count,attack_below_threshold_count,attack_mean_reputation,attack_primary_count,attack_primary_rate,attack_state,mode_count_parallel_fast,mode_count_serial_safe,mode_count_single_safe,mode_rate_parallel_fast,mode_rate_serial_safe,mode_rate_single_safe,period,requests,trusted_any_count,trusted_any_rate,trusted_below_threshold_count,trusted_mean_reputation,trusted_primary_count,trusted_primary_rate
ME,50,0.8333333333333334,0,0,0.514374745721736,50,0.8333333333333334,base,23,37,,0.38333333333333336,0.6166666666666667,,1,60,48,0.8,0,0.4773269291579842,10,0.16666666666666666
ME,43,0.7166666666666667,0,2,0.43686301716372783,43,0.7166666666666667,base,22,38,,0.36666666666666664,0.6333333333333333,,2,60,17,0.2833333333333333,1,0.47629585951732695,0,0.0
ME,6,0.1,0,3,0.2970838005177523,6,0.1,malicious,30,30,,0.5,0.5,,3,60,39,0.65,1,0.527504133937574,29,0.48333333333333334
ME,0,0.0,0,3,0.31990820511084145,0,0.0,malicious,30,30,,0.5,0.5,,4,60,22,0.36666666666666664,2,0.4244840405121111,14,0.23333333333333334
ME,0,0.0,0,3,0.35045216336145507,0,0.0,malicious,23,37,,0.38333333333333336,0.6166666666666667,,5,60,11,0.18333333333333332,3,0.342491551462713,0,0.0
ME,4,0.06666666666666667,0,3,0.26472050266301667,4,0.06666666666666667,malicious,22,38,,0.36666666666666664,0.6333333333333333,,6,60,23,0.38333333333333336,2,0.3957137491056182,19,0.31666666666666665
ME,52,0.8666666666666667,0,3,0.17675792526123257,52,0.8666666666666667,malicious,28,32,,0.4666666666666667,0.5333333333333333,,7,60,60,1.0,2,0.35670776117347414,6,0.1
ME,15,0.25,0,3,0.05572001526083461,15,0.25,malicious,23,36,1,0.38333333333333336,0.6,0.016666666666666666,8,60,50,0.8333333333333334,2,0.3150220393103519,33,0.55
ME,28,0.4666666666666667,0,3,0.0039718840579710075,28,0.4666666666666667,malicious,16,38,6,0.26666666666666666,0.6333333333333333,0.1,9,60,60,1.0,2,0.32222677377368764,32,0.5333333333333333
ME,35,0.5833333333333334,0,3,0.025435034782608692,35,0.5833333333333334,malicious,33,27,,0.55,0.45,,10,60,60,1.0,3,0.3536528861566155,25,0.4166666666666667
ME,52,0.8666666666666667,0,3,0.045631978637681155,52,0.8666666666666667,malicious,29,31,,0.48333333333333334,0.5166666666666667,,11,60,60,1.0,3,0.3009087002965359,0,0.0
