any_selected_count,attack,attack_state,audit_truth,backup_selected_count,below_threshold,group,oracle,period,primary_selected_count,reputation
37,ME,base,0.6,0,False,attacked,4,1,37,0.5676642371652081
13,ME,base,0.4,0,False,attacked,19,1,13,0.47546
0,ME,base,0.5,0,False,attacked,29,1,0,0.5
25,ME,reference,0.5,25,False,trusted_reference,3,1,0,0.4623607874739525
23,ME,reference,0.5,13,False,trusted_reference,14,1,10,0.4696199999999999
0,ME,reference,0.5,0,False,trusted_reference,24,1,0,0.5
2,ME,base,0.6,0,False,attacked,4,2,2,0.6062054762109519
19,ME,base,0.4,0,True,attacked,19,2,19,0.2583235752802317
22,ME,base,0.4,0,True,attacked,29,2,22,0.44605999999999996
2,ME,reference,0.5,2,False,trusted_reference,3,2,0,0.5043408115190138
4,ME,reference,0.42857142857142855,4,True,trusted_reference,14,2,0,0.4457452285714285
11,ME,reference,0.46153846153846156,11,False,trusted_reference,24,2,0,0.47880153846153845
6,ME,malicious,0.42857142857142855,0,True,attacked,4,3,6,0.1932594496659435
0,ME,malicious,0.4,0,True,attacked,19,3,0,0.2607225518873135
0,ME,malicious,0.4,0,True,attacked,29,3,0,0.4372693999999999
10,ME,reference,0.5333333333333333,10,False,trusted_reference,3,3,0,0.528844466615487
0,ME,reference,0.42857142857142855,0,True,trusted_reference,14,3,0,0.4474865905714285
29,ME,reference,0.6666666666666666,0,False,trusted_reference,24,3,29,0.6061813446258068
0,ME,malicious,0.42857142857142855,0,True,attacked,4,4,0,0.23582455890774082
0,ME,malicious,0.4,0,True,attacked,19,4,0,0.2909380504247836
0,ME,malicious,0.4,0,True,attacked,29,4,0,0.43296200599999995
4,ME,reference,0.5333333333333333,4,False,trusted_reference,3,4,0,0.5237461535574729
0,ME,reference,0.42857142857142855,0,True,trusted_reference,14,4,0,0.4483398579514285
18,ME,reference,0.56,4,True,trusted_reference,24,4,14,0.3013661100274319
0,ME,malicious,0.42857142857142855,0,True,attacked,4,5,0,0.28572146243622154
0,ME,malicious,0.4,0,True,attacked,19,5,0,0.33478364470814387
0,ME,malicious,0.4,0,True,attacked,29,5,0,0.4308513829399999
11,ME,reference,0.4444444444444444,11,True,trusted_reference,3,5,0,0.25673130150706885
0,ME,reference,0.42857142857142855,0,True,trusted_reference,14,5,0,0.4487579589676285
0,ME,reference,0.56,0,True,trusted_reference,24,5,0,0.32198539391344166
0,ME,malicious,0.42857142857142855,0,True,attacked,4,6,0,0.33921094516517714
4,ME,malicious,0.3,0,True,attacked,19,6,4,0.025133385183273044
0,ME,malicious,0.4,0,True,attacked,29,6,0,0.42981717764059996
0,ME,reference,0.4444444444444444,0,True,trusted_reference,3,6,0,0.27994767107179697
23,ME,reference,0.5555555555555556,4,False,trusted_reference,14,6,19,0.5460647332274712
0,ME,reference,0.56,0,True,trusted_reference,24,6,0,0.3611288430175863
52,ME,malicious,0.18181818181818182,0,True,attacked,4,7,52,0.0
0,ME,malicious,0.3,0,True,attacked,19,7,0,0.10096335873980378
0,ME,malicious,0.4,0,True,attacked,29,7,0,0.42931041704389394
52,ME,reference,0.4,52,True,trusted_reference,3,7,0,0.08863576449367758
8,ME,reference,0.5555555555555556,2,False,trusted_reference,14,7,6,0.5721383859481275
0,ME,reference,0.56,0,True,trusted_reference,24,7,0,0.4093491330786173
3,ME,malicious,0.18181818181818182,0,True,attacked,4,8,3,0.0
0,ME,malicious,0.3,0,True,attacked,19,8,0,0.16716004578250382
12,ME,malicious,0.17391304347826086,0,True,attacked,29,8,12,0.0
3,ME,reference,0.4,3,True,trusted_reference,3,8,0,0.1847124051835396
35,ME,reference,0.5454545454545454,2,False,trusted_reference,14,8,33,0.5368709059672159
29,ME,reference,0.4827586206896552,29,True,trusted_reference,24,8,0,0.2234828067803002
21,ME,malicious,0.14285714285714285,0,True,attacked,4,9,21,0.0
7,ME,malicious,0.24,0,True,attacked,19,9,7,0.0
0,ME,malicious,0.17391304347826086,0,True,attacked,29,9,0,0.011915652173913022
21,ME,reference,0.4,21,True,trusted_reference,3,9,0,0.23335881767036917
39,ME,reference,0.48,7,False,trusted_reference,14,9,32,0.4756015490180019
0,ME,reference,0.4827586206896552,0,True,trusted_reference,24,9,0,0.2577199546326919
0,ME,malicious,0.14285714285714285,0,True,attacked,4,10,0,0.0
35,ME,malicious,0.13953488372093023,0,True,attacked,19,10,35,0.0
0,ME,malicious,0.17391304347826086,0,True,attacked,29,10,0,0.07630510434782607
0,ME,reference,0.4,0,True,trusted_reference,3,10,0,0.30221382065848085
60,ME,reference,0.46153846153846156,35,True,trusted_reference,14,10,25,0.44050868073100174
3,ME,reference,0.4827586206896552,3,True,trusted_reference,24,10,0,0.3182361570803638
23,ME,malicious,0.11538461538461539,0,True,attacked,4,11,23,0.0
29,ME,malicious,0.11320754716981132,0,True,attacked,19,11,29,0.0
0,ME,malicious,0.17391304347826086,0,True,attacked,29,11,0,0.13689593591304347
23,ME,reference,0.375,23,True,trusted_reference,3,11,0,0.09142831167165408
29,ME,reference,0.4444444444444444,29,True,trusted_reference,14,11,0,0.4496060703699275
8,ME,reference,0.45161290322580644,8,True,trusted_reference,24,11,0,0.36169171884802614
37,ME,malicious,0.1,0,True,attacked,4,12,37,0.0
4,ME,malicious,0.11320754716981132,0,True,attacked,19,12,4,0.0
11,ME,malicious,0.12903225806451613,0,True,attacked,29,12,11,0.0
37,ME,reference,0.3181818181818182,37,True,trusted_reference,3,12,0,0.0108487631028832
4,ME,reference,0.42857142857142855,4,False,trusted_reference,14,12,0,0.48232506971935973
19,ME,reference,0.4117647058823529,19,True,trusted_reference,24,12,0,0.21603384546133925
11,ME,malicious,0.09375,0,True,attacked,4,13,11,0.0
0,ME,malicious,0.11320754716981132,0,True,attacked,19,13,0,0.03807584905660379
33,ME,malicious,0.10256410256410256,0,True,attacked,29,13,33,0.0
11,ME,reference,0.3181818181818182,11,True,trusted_reference,3,13,0,0.0996206058253455
16,ME,reference,0.42857142857142855,0,False,trusted_reference,14,13,16,0.5055681944224051
49,ME,reference,0.38095238095238093,49,True,trusted_reference,24,13,0,0.10198101945665365
0,ME,malicious,0.09375,0,True,attacked,4,14,0,0.0
0,ME,malicious,0.11320754716981132,0,True,attacked,19,14,0,0.10774350566037735
60,ME,malicious,0.06349206349206349,0,True,attacked,29,14,60,0.0
0,ME,reference,0.3181818181818182,0,True,trusted_reference,3,14,0,0.17068209685441926
0,ME,reference,0.42857142857142855,0,False,trusted_reference,14,14,0,0.476799843838407
60,ME,reference,0.4,60,True,trusted_reference,24,14,0,0.06433058356533326
37,ME,malicious,0.07894736842105263,0,True,attacked,4,15,37,0.0
0,ME,malicious,0.11320754716981132,0,True,attacked,19,15,0,0.1709206573962264
15,ME,malicious,0.06349206349206349,0,True,attacked,29,15,15,0.0
37,ME,reference,0.2857142857142857,37,True,trusted_reference,3,15,0,0.0
8,ME,reference,0.4666666666666667,0,False,trusted_reference,14,15,8,0.5115319234808194
23,ME,reference,0.36666666666666664,23,True,trusted_reference,24,15,0,0.12444000000000002
19,ME,malicious,0.07407407407407407,0,True,attacked,4,16,19,0.0
32,ME,malicious,0.09375,0,True,attacked,19,16,32,0.0
0,ME,malicious,0.06349206349206349,0,True,attacked,29,16,0,0.0
19,ME,reference,0.2857142857142857,19,True,trusted_reference,3,16,0,0.04299428571428568
41,ME,reference,0.3902439024390244,32,True,trusted_reference,14,16,9,0.15573957345631828
9,ME,reference,0.3492063492063492,9,True,trusted_reference,24,16,0,0.10216029264069265
19,ME,malicious,0.06382978723404255,0,True,attacked,4,17,19,0.0
11,ME,malicious,0.08955223880597014,0,True,attacked,19,17,11,0.0
30,ME,malicious,0.04819277108433735,0,True,attacked,29,17,30,0.0
19,ME,reference,0.2857142857142857,19,True,trusted_reference,3,17,0,0.08732262209726889
11,ME,reference,0.4489795918367347,11,True,trusted_reference,14,17,0,0.2468519212981142
30,ME,reference,0.36363636363636365,30,True,trusted_reference,24,17,0,0.1832902555151515
45,ME,malicious,0.057692307692307696,0,True,attacked,4,18,45,0.0
0,ME,malicious,0.08955223880597014,0,True,attacked,19,18,0,0.0
15,ME,malicious,0.043010752688172046,0,True,attacked,29,18,15,0.0
45,ME,reference,0.25,45,True,trusted_reference,3,18,0,0.0
0,ME,reference,0.4489795918367347,0,True,trusted_reference,14,18,0,0.2912730332728106
15,ME,reference,0.39436619718309857,15,True,trusted_reference,24,18,0,0.2781482050171413
29,ME,malicious,0.05042016806722689,0,True,attacked,4,19,29,0.0
0,ME,malicious,0.08955223880597014,0,True,attacked,19,19,0,0.05156796716417907
31,ME,malicious,0.03669724770642202,0,True,attacked,29,19,31,0.0
29,ME,reference,0.23880597014925373,29,True,trusted_reference,3,19,0,0.0
0,ME,reference,0.4489795918367347,0,True,trusted_reference,14,19,0,0.3420793781404119
31,ME,reference,0.410958904109589,31,True,trusted_reference,24,19,0,0.3650891309653001
0,ME,malicious,0.05042016806722689,0,True,attacked,4,20,0,0.0
0,ME,malicious,0.08955223880597014,0,True,attacked,19,20,0,0.11012376659701487
60,ME,malicious,0.031496062992125984,0,True,attacked,29,20,60,0.0
0,ME,reference,0.23880597014925373,0,True,trusted_reference,3,20,0,0.08000717706955521
0,ME,reference,0.4489795918367347,0,True,trusted_reference,14,20,0,0.39601448712553655
60,ME,reference,0.3953488372093023,60,True,trusted_reference,24,20,0,0.09911551259822111
