attack,attack_state,backup_oracle,method,mode_code,mode_name,period,primary_oracle,request_id,selected_attacked_any,selected_attacked_backup,selected_attacked_primary,selected_trusted_any,selected_trusted_primary
ME,base,3,HCRL-Oracle,1,serial_safe,1,4,1,1,0,1,1,0
ME,base,3,HCRL-Oracle,2,parallel_fast,1,4,2,1,0,1,1,0
ME,base,14,HCRL-Oracle,1,serial_safe,1,19,3,1,0,1,1,0
ME,base,14,HCRL-Oracle,1,serial_safe,1,19,4,1,0,1,1,0
ME,base,14,HCRL-Oracle,2,parallel_fast,1,19,5,1,0,1,1,0
ME,base,14,HCRL-Oracle,1,serial_safe,1,19,6,1,0,1,1,0
ME,base,14,HCRL-Oracle,2,parallel_fast,1,19,7,1,0,1,1,0
ME,base,14,HCRL-Oracle,2,parallel_fast,1,19,8,1,0,1,1,0
ME,base,14,HCRL-Oracle,2,parallel_fast,1,19,9,1,0,1,1,0
ME,base,14,HCRL-Oracle,2,parallel_fast,1,19,10,1,0,1,1,0
ME,base,14,HCRL-Oracle,1,serial_safe,1,19,11,1,0,1,1,0
ME,base,14,HCRL-Oracle,1,serial_safe,1,19,12,1,0,1,1,0
ME,base,14,HCRL-Oracle,2,parallel_fast,1,19,13,1,0,1,1,0
ME,base,14,HCRL-Oracle,1,serial_safe,1,19,14,1,0,1,1,0
ME,base,14,HCRL-Oracle,2,parallel_fast,1,19,15,1,0,1,1,0
ME,base,13,HCRL-Oracle,2,parallel_fast,1,14,16,0,0,0,1,1
ME,base,13,HCRL-Oracle,1,serial_safe,1,14,17,0,0,0,1,1
ME,base,13,HCRL-Oracle,2,parallel_fast,1,14,18,0,0,0,1,1
ME,base,13,HCRL-Oracle,2,parallel_fast,1,14,19,0,0,0,1,1
ME,base,13,HCRL-Oracle,2,parallel_fast,1,14,20,0,0,0,1,1
ME,base,13,HCRL-Oracle,1,serial_safe,1,14,21,0,0,0,1,1
ME,base,13,HCRL-Oracle,1,serial_safe,1,14,22,0,0,0,1,1
ME,base,13,HCRL-Oracle,1,serial_safe,1,14,23,0,0,0,1,1
ME,base,13,HCRL-Oracle,2,parallel_fast,1,14,24,0,0,0,1,1
ME,base,3,HCRL-Oracle,1,serial_safe,1,4,25,1,0,1,1,0
ME,base,3,HCRL-Oracle,1,serial_safe,1,4,26,1,0,1,1,0
ME,base,3,HCRL-Oracle,1,serial_safe,1,4,27,1,0,1,1,0
ME,base,3,HCRL-Oracle,2,parallel_fast,1,4,28,1,0,1,1,0
ME,base,3,HCRL-Oracle,1,serial_safe,1,4,29,1,0,1,1,0
ME,base,3,HCRL-Oracle,1,serial_safe,1,4,30,1,0,1,1,0
ME,base,3,HCRL-Oracle,1,serial_safe,1,4,31,1,0,1,1,0
ME,base,3,HCRL-Oracle,1,serial_safe,1,4,32,1,0,1,1,0
ME,base,3,HCRL-Oracle,1,serial_safe,1,4,33,1,0,1,1,0
ME,base,3,HCRL-Oracle,1,serial_safe,1,4,34,1,0,1,1,0
ME,base,3,HCRL-Oracle,1,serial_safe,1,4,35,1,0,1,1,0
ME,base,3,HCRL-Oracle,2,parallel_fast,1,4,36,1,0,1,1,0
ME,base,3,HCRL-Oracle,2,parallel_fast,1,4,37,1,0,1,1,0
ME,base,3,HCRL-Oracle,2,parallel_fast,1,4,38,1,0,1,1,0
ME,base,3,HCRL-Oracle,1,serial_safe,1,4,39,1,0,1,1,0
ME,base,3,HCRL-Oracle,1,serial_safe,1,4,40,1,0,1,1,0
ME,base,3,HCRL-Oracle,1,serial_safe,1,4,41,1,0,1,1,0
ME,base,3,HCRL-Oracle,2,parallel_fast,1,4,42,1,0,1,1,0
ME,base,3,HCRL-Oracle,1,serial_safe,1,4,43,1,0,1,1,0
ME,base,3,HCRL-Oracle,1,serial_safe,1,4,44,1,0,1,1,0
ME,base,3,HCRL-Oracle,1,serial_safe,1,4,45,1,0,1,1,0
ME,base,3,HCRL-Oracle,1,serial_safe,1,4,46,1,0,1,1,0
