request_id,method,method_id,mode_code,mode_index,mode_name,primary_oracle,backup_oracle,policy_hash,submit_function,gas_used,latency_sec,tx_hash
1,HCRL-Oracle,5,1,2,serial_safe,4,3,0xa08a485085486f7d28a3b9157df0be3e01a771060bba342ff9dc5995ffd7f898,submitSelection,203335,0.087141,772384f13e7aed36e018298b70535957b95cdd525051a794fbe72548cca55cc9
2,HCRL-Oracle,5,1,2,serial_safe,4,3,0xa08a485085486f7d28a3b9157df0be3e01a771060bba342ff9dc5995ffd7f898,submitSelection,203335,0.063079,e68fbfc5f69cf8f31964289d727b0b1169b389d9b8ff136398c5cb9d27b7a623
3,HCRL-Oracle,5,1,2,serial_safe,4,3,0xa08a485085486f7d28a3b9157df0be3e01a771060bba342ff9dc5995ffd7f898,submitSelection,203335,0.063979,160a8a5fdcb14e1886054954a5a0ecdd80b2b2a614df8016b711bb7376da8b89
4,HCRL-Oracle,5,1,2,serial_safe,4,3,0xa08a485085486f7d28a3b9157df0be3e01a771060bba342ff9dc5995ffd7f898,submitSelection,203335,0.06203,d8c2207e76001d6ca36e7d74966126f9ffe207ace4dc6a63815b4d1f4821db36
5,HCRL-Oracle,5,1,2,serial_safe,4,3,0xa08a485085486f7d28a3b9157df0be3e01a771060bba342ff9dc5995ffd7f898,submitSelection,203335,0.075515,1939abdbe2be2f2f8e47b813e89f344f7ea30237eaeaf60a956a4f71e6a728b6
6,HCRL-Oracle,5,2,3,parallel_fast,4,3,0xa08a485085486f7d28a3b9157df0be3e01a771060bba342ff9dc5995ffd7f898,submitSelection,203335,0.062898,22b7ca7c61b9effb144d1e1253c1fedd57026099bfc64abafaaa34b160fb7ef3
7,HCRL-Oracle,5,2,3,parallel_fast,4,3,0xa08a485085486f7d28a3b9157df0be3e01a771060bba342ff9dc5995ffd7f898,submitSelection,203335,0.059221,051693551a71d9455455b259856f238455edbce0b150d65afbcbe8899040c3eb
8,HCRL-Oracle,5,1,2,serial_safe,4,3,0xa08a485085486f7d28a3b9157df0be3e01a771060bba342ff9dc5995ffd7f898,submitSelection,203335,0.056505,f7ccc4c47a4ad135e5c46ce375bd5387b1259e08df83cf84c5ca04c901279772
9,HCRL-Oracle,5,2,3,parallel_fast,4,3,0xa08a485085486f7d28a3b9157df0be3e01a771060bba342ff9dc5995ffd7f898,submitSelection,203335,0.06087,2e22d312d35f293f585b2377e4e4abecc1dd8cb703f695fcea99332daa0ccb96
10,HCRL-Oracle,5,1,2,serial_safe,4,3,0xa08a485085486f7d28a3b9157df0be3e01a771060bba342ff9dc5995ffd7f898,submitSelection,203335,0.057598,1b0da78006df9966a0256647bf45ae4936147fedb099ce59f78740bb3c8f5418
