episode,method,primary_success_rate,backup_used_rate,backup_recovery_rate,conditional_backup_recovery_rate,backup_skipped_rate,backup_score_mean,single_mode_rate,serial_mode_rate,parallel_mode_rate
0,PB-SafeDQN,34.55,98.3,33.67,34.26,1.7,0.538,100.0,0.0,0.0
0,COBRA-Oracle,41.27,83.95,21.93,26.12,16.05,0.485,100.0,0.0,0.0
0,HCRL-Oracle,30.95,90.22,31.72,35.16,9.78,0.502,9.78,11.58,78.65
1,PB-SafeDQN,24.77,98.58,38.45,39.01,1.43,0.539,100.0,0.0,0.0
1,COBRA-Oracle,36.93,86.4,26.07,30.18,13.6,0.497,100.0,0.0,0.0
1,HCRL-Oracle,21.05,98.62,43.8,44.41,1.38,0.539,1.38,19.55,79.07
2,PB-SafeDQN,18.57,93.03,39.98,42.97,6.98,0.505,100.0,0.0,0.0
2,COBRA-Oracle,37.55,92.27,27.68,29.99,7.72,0.499,100.0,0.0,0.0
2,HCRL-Oracle,38.17,98.02,30.55,31.17,1.98,0.489,1.98,30.73,67.3
3,PB-SafeDQN,19.7,83.8,34.83,41.56,16.2,0.487,100.0,0.0,0.0
3,COBRA-Oracle,27.98,97.82,38.62,39.48,2.17,0.522,100.0,0.0,0.0
3,HCRL-Oracle,38.73,98.65,30.85,31.27,1.35,0.478,1.35,36.68,61.98
4,PB-SafeDQN,23.52,97.7,41.2,42.17,2.3,0.554,100.0,0.0,0.0
4,COBRA-Oracle,24.1,94.83,38.57,40.68,5.17,0.5,100.0,0.0,0.0
4,HCRL-Oracle,35.45,99.55,35.45,35.61,0.45,0.493,0.45,34.55,65.0
5,PB-SafeDQN,25.77,94.47,37.38,39.56,5.53,0.501,100.0,0.0,0.0
5,COBRA-Oracle,35.8,91.6,31.25,34.12,8.4,0.507,100.0,0.0,0.0
5,HCRL-Oracle,45.52,99.6,30.68,30.8,0.4,0.505,0.4,42.58,57.03
6,PB-SafeDQN,21.6,98.12,41.95,42.75,1.88,0.535,100.0,0.0,0.0
6,COBRA-Oracle,32.12,99.3,36.55,36.81,0.7,0.551,100.0,0.0,0.0
6,HCRL-Oracle,42.05,98.78,32.2,32.6,1.23,0.501,1.23,46.6,52.18
7,PB-SafeDQN,27.85,93.1,32.02,34.4,6.9,0.503,100.0,0.0,0.0
7,COBRA-Oracle,27.75,99.4,39.8,40.04,0.6,0.539,100.0,0.0,0.0
7,HCRL-Oracle,38.32,97.62,34.52,35.36,2.38,0.493,2.38,44.92,52.7
8,PB-SafeDQN,22.05,93.85,36.0,38.36,6.15,0.49,100.0,0.0,0.0
8,COBRA-Oracle,23.15,84.7,32.48,38.34,15.3,0.46,100.0,0.0,0.0
8,HCRL-Oracle,40.67,99.45,33.55,33.74,0.55,0.486,0.55,42.18,57.27
9,PB-SafeDQN,20.93,79.4,31.65,39.86,20.6,0.479,100.0,0.0,0.0
9,COBRA-Oracle,27.5,87.48,32.15,36.75,12.53,0.484,100.0,0.0,0.0
9,HCRL-Oracle,45.6,99.3,30.38,30.59,0.7,0.473,0.7,45.15,54.15
10,PB-SafeDQN,20.52,98.15,42.55,43.35,1.85,0.529,100.0,0.0,0.0
10,COBRA-Oracle,23.6,91.12,35.4,38.85,8.88,0.483,100.0,0.0,0.0
10,HCRL-Oracle,49.58,98.28,28.05,28.54,1.73,0.478,1.73,46.27,52.0
11,PB-SafeDQN,20.93,93.4,39.2,41.97,6.6,0.498,100.0,0.0,0.0
11,COBRA-Oracle,28.15,98.15,36.75,37.44,1.85,0.524,100.0,0.0,0.0
11,HCRL-Oracle,52.1,98.52,27.18,27.58,1.47,0.507,1.47,40.88,57.65
12,PB-SafeDQN,19.73,73.7,29.53,40.06,26.3,0.456,100.0,0.0,0.0
12,COBRA-Oracle,25.45,94.97,38.07,40.09,5.03,0.515,100.0,0.0,0.0
12,HCRL-Oracle,51.48,98.83,27.7,28.03,1.18,0.494,1.18,36.23,62.6
13,PB-SafeDQN,25.02,79.97,31.72,39.67,20.03,0.476,100.0,0.0,0.0
13,COBRA-Oracle,25.97,91.33,32.88,36.0,8.67,0.483,100.0,0.0,0.0
13,HCRL-Oracle,52.02,98.25,28.12,28.63,1.75,0.499,1.75,38.57,59.67
14,PB-SafeDQN,18.15,98.58,44.92,45.57,1.43,0.537,100.0,0.0,0.0
14,COBRA-Oracle,27.12,90.03,34.8,38.66,9.98,0.493,100.0,0.0,0.0
14,HCRL-Oracle,52.28,98.28,25.97,26.43,1.73,0.48,1.73,37.15,61.12
15,PB-SafeDQN,28.4,99.12,36.98,37.3,0.88,0.528,100.0,0.0,0.0
15,COBRA-Oracle,26.55,96.53,34.77,36.03,3.48,0.518,100.0,0.0,0.0
15,HCRL-Oracle,50.78,98.32,28.73,29.21,1.68,0.505,1.68,36.93,61.4
16,PB-SafeDQN,24.3,95.67,37.57,39.27,4.32,0.51,100.0,0.0,0.0
16,COBRA-Oracle,20.15,95.12,40.0,42.05,4.88,0.498,100.0,0.0,0.0
16,HCRL-Oracle,51.12,97.92,28.2,28.8,2.08,0.512,2.08,36.38,61.55
17,PB-SafeDQN,23.77,99.98,43.2,43.21,0.03,0.565,100.0,0.0,0.0
17,COBRA-Oracle,28.0,92.33,34.15,36.99,7.67,0.506,100.0,0.0,0.0
17,HCRL-Oracle,49.65,98.47,28.82,29.27,1.52,0.498,1.52,33.55,64.92
18,PB-SafeDQN,24.9,93.17,39.17,42.04,6.83,0.506,100.0,0.0,0.0
18,COBRA-Oracle,24.43,96.85,38.6,39.86,3.15,0.503,100.0,0.0,0.0
18,HCRL-Oracle,49.02,98.6,29.3,29.72,1.4,0.504,1.4,32.02,66.57
19,PB-SafeDQN,27.93,73.72,27.82,37.74,26.27,0.453,100.0,0.0,0.0
19,COBRA-Oracle,29.6,92.8,33.4,35.99,7.2,0.507,100.0,0.0,0.0
19,HCRL-Oracle,51.58,98.52,27.32,27.73,1.47,0.493,1.47,39.83,58.7
20,PB-SafeDQN,23.0,96.43,40.58,42.08,3.57,0.526,100.0,0.0,0.0
20,COBRA-Oracle,35.65,85.35,27.8,32.57,14.65,0.486,100.0,0.0,0.0
20,HCRL-Oracle,52.35,98.1,24.4,24.87,1.9,0.443,1.9,37.8,60.3
21,PB-SafeDQN,27.52,94.9,36.78,38.75,5.1,0.493,100.0,0.0,0.0
21,COBRA-Oracle,28.45,92.77,35.58,38.35,7.22,0.507,100.0,0.0,0.0
21,HCRL-Oracle,50.68,97.08,27.12,27.94,2.93,0.44,2.93,38.73,58.35
22,PB-SafeDQN,29.25,96.05,35.62,37.09,3.95,0.519,100.0,0.0,0.0
22,COBRA-Oracle,27.52,94.8,34.75,36.66,5.2,0.506,100.0,0.0,0.0
22,HCRL-Oracle,47.48,96.3,29.03,30.14,3.7,0.48,3.7,39.73,56.57
23,PB-SafeDQN,21.88,86.62,37.7,43.52,13.38,0.483,100.0,0.0,0.0
23,COBRA-Oracle,34.27,85.0,28.3,33.29,15.0,0.481,100.0,0.0,0.0
23,HCRL-Oracle,48.48,98.05,29.98,30.57,1.95,0.489,1.95,44.98,53.08
24,PB-SafeDQN,19.78,92.95,39.52,42.52,7.05,0.498,100.0,0.0,0.0
24,COBRA-Oracle,27.18,96.25,38.42,39.92,3.75,0.527,100.0,0.0,0.0
24,HCRL-Oracle,43.48,99.08,31.75,32.05,0.92,0.428,0.92,38.92,60.15
25,PB-SafeDQN,21.7,98.58,42.45,43.06,1.43,0.516,100.0,0.0,0.0
25,COBRA-Oracle,24.68,98.92,41.08,41.52,1.07,0.525,100.0,0.0,0.0
25,HCRL-Oracle,46.85,98.1,29.0,29.56,1.9,0.449,1.9,40.62,57.48
26,PB-SafeDQN,24.75,98.22,40.85,41.59,1.77,0.52,100.0,0.0,0.0
26,COBRA-Oracle,27.6,78.88,29.55,37.46,21.12,0.452,100.0,0.0,0.0
26,HCRL-Oracle,49.55,97.4,26.3,27.0,2.6,0.433,2.6,39.42,57.98
27,PB-SafeDQN,24.65,91.57,37.82,41.3,8.43,0.501,100.0,0.0,0.0
27,COBRA-Oracle,28.68,95.93,34.08,35.52,4.08,0.514,100.0,0.0,0.0
27,HCRL-Oracle,54.17,98.95,22.23,22.46,1.05,0.398,1.05,39.25,59.7
28,PB-SafeDQN,27.12,73.2,27.22,37.19,26.8,0.461,100.0,0.0,0.0
28,COBRA-Oracle,21.77,98.05,42.05,42.89,1.95,0.528,100.0,0.0,0.0
28,HCRL-Oracle,50.05,98.17,25.67,26.15,1.82,0.415,1.82,47.83,50.35
29,PB-SafeDQN,22.68,95.97,40.05,41.73,4.03,0.515,100.0,0.0,0.0
29,COBRA-Oracle,23.47,95.45,40.67,42.61,4.55,0.519,100.0,0.0,0.0
29,HCRL-Oracle,54.25,97.12,22.8,23.47,2.88,0.423,2.88,47.35,49.78
