episode,method,reward,avg_responseT,success_rate,success_time_rate,finishT,Cost,cost_per_success,malicious_rate,trusted_rate,audit_rate,audit_fail_rate,audit_truth_mean,audit_detect
0,Random,1023.55,5.19,55.2,96.83,48045.1,0.469,0.85,20.93,58.85,7.9,4.3,0.48,
0,Round-Robin,1261.02,5.076,60.52,99.98,48044.99,0.472,0.781,20.0,60.0,8.4,4.45,0.505,
0,Earliest,1272.42,5.076,61.12,99.95,48044.99,0.472,0.772,20.0,60.0,7.5,4.32,0.483,
0,DQN,482.76,6.077,51.68,81.27,48045.99,0.721,1.395,6.02,87.88,6.45,3.05,0.443,
0,BLOR,712.23,5.382,49.25,93.85,48045.29,0.569,1.156,10.88,73.4,7.32,4.25,0.393,
0,SemiGreedy,141.47,5.292,29.65,92.58,48045.2,0.365,1.233,8.43,74.55,8.4,6.2,0.314,
0,PPO,1034.14,5.169,55.17,97.17,48045.08,0.477,0.864,17.75,63.3,7.95,4.4,0.479,
0,RA-DDQN,403.01,6.126,50.2,80.38,48046.04,0.716,1.426,6.02,88.22,7.12,3.8,0.437,
0,PB-SafeDQN,870.55,5.511,68.23,90.48,48046.4,1.2,1.759,6.15,81.4,13.93,7.98,0.377,
0,COBRA-Oracle,465.28,5.906,63.2,83.28,48046.77,1.37,2.168,2.73,90.2,12.65,7.0,0.401,
0,HCRL-Oracle,180.3,5.989,62.68,82.05,48047.52,1.372,2.189,0.22,94.55,13.0,7.45,0.46,
1,Random,988.58,5.196,54.2,96.83,48559.14,0.468,0.863,20.25,60.0,7.47,4.12,0.485,
1,Round-Robin,1171.83,5.085,57.9,99.9,48559.03,0.472,0.816,20.0,60.0,7.1,4.05,0.478,
1,Earliest,1215.94,5.083,59.3,99.9,48559.03,0.472,0.796,20.03,60.0,7.6,3.67,0.513,
1,DQN,12.64,6.22,39.75,77.48,48560.16,0.658,1.654,1.9,84.9,7.42,4.8,0.359,
1,BLOR,697.83,5.377,48.5,93.88,48559.32,0.57,1.176,10.85,75.2,7.6,4.38,0.414,
1,SemiGreedy,46.12,5.339,28.07,90.75,48559.28,0.351,1.25,9.5,78.3,8.4,6.62,0.284,
1,PPO,1018.97,5.216,55.35,96.38,48559.16,0.487,0.88,15.53,65.75,7.72,4.38,0.463,
1,RA-DDQN,105.89,6.255,44.05,76.42,48560.2,0.724,1.643,2.3,85.0,6.28,3.35,0.443,
1,PB-SafeDQN,723.54,5.609,63.22,87.78,48560.74,1.154,1.826,10.4,66.77,14.92,8.8,0.346,
1,COBRA-Oracle,665.75,5.605,63.0,88.88,48560.45,1.195,1.896,2.33,88.28,12.55,6.75,0.409,
1,HCRL-Oracle,677.06,5.762,64.85,87.52,48561.76,1.258,1.94,0.0,58.23,14.75,9.53,0.463,
2,Random,1085.23,5.172,56.7,97.17,47259.7,0.481,0.848,18.62,62.18,8.25,4.03,0.51,
2,Round-Robin,1249.18,5.066,60.15,99.9,47259.6,0.472,0.786,20.0,60.0,6.93,3.9,0.499,
2,Earliest,1255.16,5.065,60.7,99.88,47259.6,0.472,0.777,20.03,59.98,8.1,4.15,0.498,
2,DQN,47.24,6.251,41.75,77.53,47260.78,0.678,1.625,14.95,78.77,7.65,4.8,0.365,
2,BLOR,729.23,5.326,49.05,94.47,47259.86,0.567,1.157,11.03,75.22,7.03,3.88,0.421,
2,SemiGreedy,80.97,5.256,27.82,92.05,47259.79,0.328,1.178,9.93,78.77,8.38,6.65,0.29,
2,PPO,1130.8,5.173,58.63,96.97,47259.71,0.5,0.854,14.37,67.65,7.7,4.23,0.476,
2,RA-DDQN,163.36,6.133,44.15,77.85,47260.67,0.703,1.592,1.55,86.4,6.85,3.7,0.442,
2,PB-SafeDQN,621.9,5.656,58.55,86.6,47261.15,1.014,1.732,33.27,57.2,13.95,10.03,0.338,
2,COBRA-Oracle,668.94,5.599,65.22,88.88,47261.1,1.262,1.934,25.85,70.75,14.0,7.9,0.378,
2,HCRL-Oracle,747.77,5.688,68.73,87.65,47262.34,1.289,1.876,0.2,88.58,13.28,7.78,0.425,
3,Random,998.37,5.164,54.43,97.1,48942.14,0.464,0.852,21.2,60.3,7.42,4.55,0.466,
3,Round-Robin,1219.02,5.075,59.42,99.88,48942.05,0.472,0.795,20.0,60.0,8.18,4.3,0.489,
3,Earliest,1213.54,5.076,59.1,99.92,48942.05,0.472,0.799,20.0,60.02,7.58,4.17,0.498,
3,DQN,118.24,6.275,44.82,76.55,48943.25,0.75,1.673,2.12,91.17,6.8,3.75,0.433,
3,BLOR,677.72,5.336,47.75,94.03,48942.31,0.563,1.179,11.03,73.83,6.9,4.15,0.4,
3,SemiGreedy,70.51,5.345,28.3,91.5,48942.32,0.364,1.287,9.18,75.42,7.92,5.9,0.291,
3,PPO,1107.61,5.202,57.83,96.75,48942.18,0.507,0.876,13.33,68.67,7.72,4.03,0.482,
3,RA-DDQN,106.33,6.305,45.05,76.35,48943.28,0.743,1.65,2.08,85.1,7.15,3.92,0.438,
3,PB-SafeDQN,516.1,5.695,54.52,85.9,48943.46,0.958,1.757,20.93,68.47,13.98,9.5,0.364,
3,COBRA-Oracle,920.3,5.451,66.6,90.7,48943.42,1.159,1.74,13.1,84.75,13.73,8.6,0.411,
3,HCRL-Oracle,867.91,5.577,69.58,90.28,48944.7,1.245,1.79,3.43,90.05,12.95,7.22,0.43,
4,Random,1027.02,5.191,55.33,96.75,47305.82,0.467,0.844,20.45,58.53,7.38,3.95,0.503,
4,Round-Robin,1201.53,5.08,58.73,99.88,47305.71,0.472,0.805,20.0,60.0,7.92,4.25,0.505,
4,Earliest,1231.3,5.08,59.62,99.88,47305.71,0.472,0.792,20.03,59.98,6.88,3.6,0.501,
4,DQN,61.0,6.046,39.95,79.33,47306.68,0.635,1.59,1.88,85.15,6.65,4.5,0.379,
4,BLOR,681.62,5.352,47.93,93.92,47305.99,0.572,1.194,11.38,75.05,7.1,3.95,0.406,
4,SemiGreedy,173.37,5.338,31.03,92.27,47305.97,0.376,1.211,8.82,78.7,8.22,5.95,0.308,
